"Стачек пр., д.101, к.1в",2168.4\1313.5,2135\1285
"Стачек пр., д.101, к.1г",1141.6\993.6,1006\866
"Стачек пр., д.101, к.1д",1115.7\703.2,1112\713
"Стачек пр., д.102",54.3\15.8,58\11
"Стачек пр., д.103, к.1",1331.28\1574.1,1004.85\1990
"Стачек пр., д.105, к.2а",920.8\574,919\671
"Стачек пр., д.105, к.2б",2435.3\1735.9,2393.62\1690
"Стачек пр., д.105, к.2в",2772\1499.1,2644\1303
"Стачек пр., д.105, к.2г",1286.8\1135.3,1040\1097
"Стачек пр., д.105, к.2д",2836.54\1948.8,2527.47\1778
"Стачек пр., д.105, к.2е",1721.81\1112.1,1536.36\1031
"Стачек пр., д.105, к.2ж",2933.96\1505.9,2682.1\1435
"Стачек пр., д.105, к.2з",1654.42\1194.6,1509.41\1124
"Стачек пр., д.107, к.1",1426.06\800.9,1716.96\693
"Тракторная ул., д.3",94\97,69\92
"Тракторная ул., д.4",74.5\42.1,63\38
"Тракторная ул., д.4а",114.3\120.4,141\132
"Тракторная ул., д.5",203.6\88.6,93\81
"Тракторная ул., д.6",49.2\42.7,36\39
"Тракторная ул., д.6, к.2",53.9\32,38\35
"Тракторная ул., д.7",79.3\49.6,70\62
"Тракторная ул., д.8",83.3\76.4,39\68
"Тракторная ул., д.9",269.7\180.4,181\151
"Тракторная ул., д.10",57.4\59,26\37
"Тракторная ул., д.11",97\50,104\47
"Тракторная ул., д.12",112.8\158.1,71\153
"Тракторная ул., д.13",141.6\90.7,111\85
"Тракторная ул., д.15",152.8\84.3,106\55
"Трамвайный пр., д.5",163.8\191,91\191
"Трамвайный пр., д.7, к.1",98.1\86.1,66\69
"Трамвайный пр., д.7, к.2",467.6\236.5,446\227
"Трамвайный пр., д.9, к.1",157\177.6,108\185
"Трамвайный пр., д.9, к.2",179.1\94.5,179\94
"Трамвайный пр., д.11, к.1",14.2\11.2,14\9
"Трамвайный пр., д.11, к.2",85.3\71,83\81
"Трамвайный пр., д.11, к.3",190.2\49.1,160\40
"Трамвайный пр., д.11, к.6",727.1\300.1,706\317
"Трамвайный пр., д.13, к.1",27\11,28\12
"Трамвайный пр., д.13, к.2",43\42.3,27\27
"Трамвайный пр., д.13, к.3",66.9\37.5,61\36
"Трамвайный пр., д.15, к.1",168.1\172.7,157\177
"Трамвайный пр., д.15, к.2",101.7\73.3,55\50
"Трамвайный пр., д.15, к.3",128.8\119,80\101
"Трамвайный пр., д.17",58.6\60.8,47\53
"Трефолева ул., д.3",1071.7\465.3,860\359
"Трефолева ул., д.5",261.4\203.3,159\156
"Трефолева ул., д.11",46.2\28.9,45\30
"Трефолева ул., д.15",970\538,675\399
"Трефолева ул., д.16",132\130,122\154
"Трефолева ул., д.22/25",2072.25\892.2,1881.99\832
"Трефолева ул., д.26",128.1\68.7,139\77
"Турбинная ул., д.11",172.3\140.4,169\92
"Тургеневский пер., д.3",13\7,41\20
"Тургеневский пер., д.5",83.6\60.3,57\50
"Урюпин пер., д.2/6",.001\0,.001\0
"Урюпин пер., д.5",287.3\235.9,219\190
"Швецова ул., д.6",102.9\51.5,101\21
"Швецова ул., д.10",641.9\565.5,382\424
"Швецова ул., д.11",683.9\300.9,623\230
"Швецова ул., д.17",380\183,418\196
"Швецова ул., д.19",763.29\321,1020.69\437
"Шотландская ул., д.3",1289.4\492.1,1357\486
