"Оборонная ул., д.27",68.6\36.2,66.26\48.2
"Огородный пер., д.4, к.3",434.55\319.1,405.55\269.1
"Огородный пер., д.6, к.1",304.45\151,190.45\100
"Огородный пер., д.6, к.2",49\25,14\7
"Промышленная ул., д.12",60.9\48.85,58.9\32.85
"Промышленная ул., д.26",140.7\116.75,142.7\117.75
"Промышленная ул., д.28",89.55\19,48.55\13
"Промышленная ул., д.30",21.55\6.35,23.55\11.35
"Промышленная ул., д.34",70.6\26.45,31.6\72.45
"Промышленная ул., д.36",16.15\7.65,50.15\24.65
"Промышленная ул., д.38",5.95\3.9,15.95\11.9
"Севастопольская ул., д.6",141.85\67.85,141.85\67.85
"Севастопольская ул., д.34",90.1\38.6,52.1\22.6
"Стачек пр., д.1",511.15\85.6,643.15\190.6
"Стачек пр., д.2/2",84.8\71.3,130.8\71.3
"Стачек пр., д.4/1",148\109,172\92
"Стачек пр., д.6",83.95\62.15,73.83\50.15
"Стачек пр., д.8/2",30.95\25.7,54.95\37.7
"Стачек пр., д.8а",157.16\0,157.16\0
"Стачек пр., д.9",172.95\88.05,209.95\106.05
"Стачек пр., д.10",180.65\144.1,150.65\125.1
"Стачек пр., д.11",272.91\258.1,333.92\260.1
"Стачек пр., д.17",293.96\521.1,293.96\164.1
"Стачек пр., д.19",1450.9\535.55,1296.85\556.55
"Стачек пр., д.21",2106.9\1001.1,2975\922.1
"Стачек пр., д.22",140.7\108.95,221.7\144.95
"Стачек пр., д.22а",784.95\318.9,1056.95\425.9
"Стачек пр., д.23",1254.9\644.5,1060.9\535.5
"Стачек пр., д.24",403\199,660\336
"Стачек пр., д.29",222.95\95.9,276.95\154.9
"Стачек пр., д.33/2",69.7\34.5,134.7\97.5
"Стачек пр., д.34, к.2",123.3\65.75,85.3\46.75
"Стачек пр., д.35",94.05\63.45,142.05\61.45
"Стачек пр., д.41",650.3\390.55,219.3\143.55
"Стачек пр., д.42",38\42,57.6\0
"Стачек пр., д.95, к.1",3781.25\1465.15,3827.25\2065.15
"Стачек пр., д.101, к.1а",1749.99\1066.95,2010.47\1129.95
"Стачек пр., д.101, к.1б",742.007\814.35,1140.07\939.35
"Стачек пр., д.101, к.1в",2408.1\1466.25,2713.1\1549.25
"Стачек пр., д.101, к.1г",1187.9\1119.4,1524.9\1185.4
"Стачек пр., д.101, к.1д",1411.55\866.3,1629.55\959.3
"Стачек пр., д.102",46.95\13.2,64.95\36.2
"Стачек пр., д.103, к.1",2077.82\2674.15,2520.61\2206.15
"Стачек пр., д.105, к.2а",995.2\595,1190.2\725
"Стачек пр., д.105, к.2б",2095.23\1525.35,2986.09\1902.35
"Стачек пр., д.105, к.2в",3133\1608.15,3588\1759.15
"Стачек пр., д.105, к.2г",1199.7\1124.45,1627.7\1203.45
"Стачек пр., д.105, к.2д",3160\2226.7,4009.63\2494.7
"Стачек пр., д.105, к.2е",1851.46\1223.15,2358.91\1404.15
"Стачек пр., д.105, к.2ж",3090.14\1587.85,3602.64\1776.85
"Стачек пр., д.105, к.2з",1546.48\1102.9,2035.67\1300.9
"Стачек пр., д.107, к.1",1420.37\833.85,1663.81\882.85
"Тракторная ул., д.3",239.32\0,239.324\0
"Тракторная ул., д.4",94.75\51.15,84.75\46.15
"Тракторная ул., д.4а",175.45\183.6,160.45\127.6
"Тракторная ул., д.5",161.9\113.9,175.9\114.9
"Тракторная ул., д.6",57.3\50.05,63.3\47.05
"Тракторная ул., д.6, к.2",52.85\39,46.85\29
"Тракторная ул., д.7",133.45\84.4,130.45\76.4
"Тракторная ул., д.8",156.45\126.1,156.45\116.1
"Тракторная ул., д.9",282.55\166.6,263.55\187.6
"Тракторная ул., д.10",71.1\68,65.1\54
"Тракторная ул., д.12",183.7\282.15,153.7\157.15
"Тракторная ул., д.13",183.4\119.55,177.4\104.55
"Тракторная ул., д.15",178.7\88.45,174.7\93.45
"Трамвайный пр., д.5",221.7\228,270.7\221
"Трамвайный пр., д.7, к.1",211.65\209.65,246.65\199.65
"Трамвайный пр., д.7, к.2",668.9\331.75,609.9\307.75
"Трамвайный пр., д.9, к.1",210.5\225.4,252.5\211.4
"Трамвайный пр., д.9, к.2",253.15\124.25,213.15\113.25
"Трамвайный пр., д.11, к.1",10.3\10.3,18.3\10.3
"Трамвайный пр., д.11, к.2",90.45\69.5,122.45\77.5
"Трамвайный пр., д.11, к.3",236.8\54.65,219.8\54.65
"Трамвайный пр., д.11, к.6",1046.65\435.15,886.65\395.15
"Трамвайный пр., д.13, к.1",84\35,93\49
"Трамвайный пр., д.13, к.2",48.5\52.95,84.5\59.95
"Трамвайный пр., д.13, к.3",38.35\14.25,63.35\35.25
"Трамвайный пр., д.15, к.1",215.15\213.05,252.15\209.05
"Трамвайный пр., д.15, к.2",132.05\76.45,120.05\71.45
"Трамвайный пр., д.15, к.3",176.2\178.5,170.2\153.5
"Трамвайный пр., д.17",76.9\83.7,139.9\111.7
"Трефолева ул., д.3",967.55\435.45,1368.55\616.45
"Трефолева ул., д.5",237.6\195.95,317.6\217.95
"Трефолева ул., д.11",31.3\35.35,68.3\38.35
"Трефолева ул., д.15",644\391,644\391
"Трефолева ул., д.16",337\247,190\142
"Трефолева ул., д.22/25",1821.65\1330.3,2175.4\1003.3
"Трефолева ул., д.26",148.15\77.55,116.15\64.55
"Турбинная ул., д.11",46.45\426.1,45.3\434.6
"Тургеневский пер., д.3",155\104,10\5
"Тургеневский пер., д.5",87.75\59.95,62.75\43.95
"Урюпин пер., д.2/6",34.5\16.1,34.5\16.1
"Урюпин пер., д.5",329.45\246.35,272.45\199.35
"Швецова ул., д.4",.001\0,.001\0
"Швецова ул., д.6",146.35\76.25,122.35\62.25
"Швецова ул., д.10",951.85\765.75,853.85\621.75
"Швецова ул., д.11",808.35\582.85,760.35\270.85
"Швецова ул., д.17",595\283,337\157
"Швецова ул., д.19",607.9\138,687.22\60
"Шотландская ул., д.3",1529.6\606.65,1482.6\566.65
