"Оборонная ул., д.5",715\416.2,445\281.2
"Оборонная ул., д.6",81.1\32.95,.01\20.95
"Оборонная ул., д.7/20",24.95\12.95,53.95\29.95
"Оборонная ул., д.14",116.15\67.05,140.15\79.05
"Оборонная ул., д.17/13",57.7\28.05,108.7\45.05
"Оборонная ул., д.19",102.7\55.3,87.7\38.3
"Оборонная ул., д.20/18",96.35\46.8,94.35\47.8
"Оборонная ул., д.23/17",74.95\58.85,75.95\18.85
"Оборонная ул., д.27",79.6\42.2,82.6\43.2
"Огородный пер., д.4, к.3",605.55\343.1,503.55\300.1
"Огородный пер., д.6, к.1",306.45\155,242.45\125
"Огородный пер., д.6, к.2",518\255,390\194
"Огородный пер., д.11",121\28,100\36
"Промышленная ул., д.12",4.9\28.85,138.9\56.85
"Промышленная ул., д.26",150.7\82.75,150.7\82.75
"Промышленная ул., д.28",70.55\36,86.55\45
"Промышленная ул., д.30",19.55\10.35,19.55\10.35
"Промышленная ул., д.34",84.6\41.45,82.6\44.45
"Промышленная ул., д.36",80.15\40.65,43.15\20.65
"Промышленная ул., д.38",19.95\9.9,17.95\28.9
"Севастопольская ул., д.6",94.85\46.85,103.85\50.85
"Севастопольская ул., д.34",33.1\17.6,43.1\23.6
"Севастопольская ул., д.43",38.8\20.4,28.8\18.4
"Стачек пр., д.1",784.15\300.6,861.12\300.6
"Стачек пр., д.2/2",114.8\64.3,71.8\44.3
"Стачек пр., д.4/1",170\88,161\90
"Стачек пр., д.6",83.03\60.15,110.63\87.15
"Стачек пр., д.8/2",74.95\45.7,59.95\38.7
"Стачек пр., д.8а",157.16\0,157.16\0
"Стачек пр., д.9",190.95\97.05,196.95\100.05
"Стачек пр., д.10",253.65\179.1,189.65\167.1
"Стачек пр., д.11",489.392\310.1,404.768\287.1
"Стачек пр., д.17",274.26\128.1,852.672\410.1
"Стачек пр., д.19",1434.85\643.55,1273.85\595.55
"Стачек пр., д.21",2386.88\1258.1,3343.22\1308.1
"Стачек пр., д.22",150.7\93.95,166.7\112.95
"Стачек пр., д.22а",811.95\326.9,1208.95\463.9
"Стачек пр., д.23",967.9\515.5,887.9\427.5
"Стачек пр., д.24",511\264,547\286
"Стачек пр., д.27",54\31,46\28
"Стачек пр., д.29",245.95\130.9,256.95\143.9
"Стачек пр., д.33/2",139.7\89.5,75.7\64.5
"Стачек пр., д.34, к.1",135\70,147\80
"Стачек пр., д.34, к.2",87.3\44.75,79.3\41.75
"Стачек пр., д.35",113.05\54.45,95.05\61.45
"Стачек пр., д.38",14.05\7.2,41.05\21.2
"Стачек пр., д.41",338.3\203.55,499.3\318.55
"Стачек пр., д.42",40\30,33\32
"Стачек пр., д.95, к.1",3797.25\1942.15,3264.25\1811.15
"Стачек пр., д.101, к.1а",2040.98\1194.95,1770.71\953.95
"Стачек пр., д.101, к.1б",1019.69\789.35,657.347\364.35
"Стачек пр., д.101, к.1в",2685.1\1376.25,2442.1\1350.25
"Стачек пр., д.101, к.1г",1822.9\1195.4,1531.9\1164.4
"Стачек пр., д.101, к.1д",1733.55\935.3,1498.55\858.3
"Стачек пр., д.102",97.95\44.2,92.95\38.2
"Стачек пр., д.103, к.1",2209.27\1963.15,1867.72\1886.15
"Стачек пр., д.105, к.2а",1195.2\665,1228.2\761
"Стачек пр., д.105, к.2б",3278.55\1884.35,3160.32\2019.35
"Стачек пр., д.105, к.2в",3596\1639.15,3284\1397.15
"Стачек пр., д.105, к.2г",1800.7\1196.45,1798.7\1307.45
"Стачек пр., д.105, к.2д",4246.39\2513.7,3797.92\2468.7
"Стачек пр., д.105, к.2е",2361.81\1303.15,2137.03\1285.15
"Стачек пр., д.105, к.2ж",3495.34\1684.85,3476.54\1679.85
"Стачек пр., д.105, к.2з",2292.79\1293.9,2220.02\1455.9
"Стачек пр., д.107, к.1",1760.33\901.85,1742.69\951.85
"Тракторная ул., д.3",162\102,147\108
"Тракторная ул., д.4",101.75\51.15,88.75\47.15
"Тракторная ул., д.4а",201.45\145.6,165.45\136.6
"Тракторная ул., д.5",186.9\112.9,66.9\87.9
"Тракторная ул., д.6",99.3\64.05,87.3\61.05
"Тракторная ул., д.6, к.2",68.85\40,70.85\43
"Тракторная ул., д.7",137.45\78.4,131.45\80.4
"Тракторная ул., д.8",171.45\110.1,145.45\101.1
"Тракторная ул., д.9",398.55\221.6,236.55\145.6
"Тракторная ул., д.10",97.1\70,79.1\66
"Тракторная ул., д.11",213\107,99\49
"Тракторная ул., д.12",351.7\207.15,92.7\195.15
"Тракторная ул., д.13",344.4\183.55,172.4\99.55
"Тракторная ул., д.15",237.7\130.45,176.7\99.45
"Трамвайный пр., д.5",383.7\281,334.7\295
"Трамвайный пр., д.7, к.1",150.65\96.65,146.65\109.65
"Трамвайный пр., д.7, к.2",467.9\237.75,570.9\284.75
"Трамвайный пр., д.9, к.1",288.5\213.4,226.5\206.4
"Трамвайный пр., д.9, к.2",213.15\112.25,206.15\107.25
"Трамвайный пр., д.11, к.1",9.3\5.3,11.3\4.3
"Трамвайный пр., д.11, к.2",135.45\81.5,135.45\89.5
"Трамвайный пр., д.11, к.3",76.8\21.65,225.8\58.65
"Трамвайный пр., д.11, к.6",731.65\290.15,810.65\366.15
"Трамвайный пр., д.13, к.1",96\50,88\45
"Трамвайный пр., д.13, к.2",78.5\58.95,66.5\54.95
"Трамвайный пр., д.13, к.3",145.35\77.25,65.35\36.25
"Трамвайный пр., д.15, к.1",293.15\212.05,218.15\180.05
"Трамвайный пр., д.15, к.2",143.05\84.45,103.05\64.45
"Трамвайный пр., д.15, к.3",187.2\145.5,160.2\137.5
"Трамвайный пр., д.17",102.9\67.7,90.9\64.7
"Трефолева ул., д.3",981.55\433.45,1056.55\454.45
"Трефолева ул., д.5",295.6\176.95,315.6\204.95
"Трефолева ул., д.11",58.3\31.35,67.3\38.35
"Трефолева ул., д.15",1005\520,1062\562
"Трефолева ул., д.16",217\141,206\155
"Трефолева ул., д.22/25",1858.01\814.3,2063.93\885.3
"Трефолева ул., д.26",116\63,220.15\116.55
"Турбинная ул., д.11",82.45\360,94.45\336.1
"Тургеневский пер., д.3",44\21,119\60
"Тургеневский пер., д.5",116.75\65.95,85.75\52.95
"Урюпин пер., д.2/6",.001\0,.01\0
"Урюпин пер., д.5",398.45\264.35,289.45\214.35
"Швецова ул., д.4",.001\0,
"Швецова ул., д.6",112\57,120.35\60.25
"Швецова ул., д.10",1242.85\820.75,646.85\483.75
"Швецова ул., д.11",1265.35\287.85,911.35\389.85
"Швецова ул., д.17",331\160,523\242
"Швецова ул., д.19",852.39\414,1103.85\479
"Шотландская ул., д.3",1564.6\627.65,1526.6\568.65
